"INDIC_IS","GEO","TIME","UNIT","IND_TYPE","Value","Flag and Footnotes"
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Belgium","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Belgium","2015","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Belgium","2019","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Bulgaria","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Bulgaria","2015","Percentage of individuals","All Individuals","3",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Bulgaria","2019","Percentage of individuals","All Individuals","4",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Czechia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Czechia","2015","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Czechia","2019","Percentage of individuals","All Individuals","6","b"
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Denmark","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Denmark","2015","Percentage of individuals","All Individuals","13",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Denmark","2019","Percentage of individuals","All Individuals","15",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","13",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","17",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Estonia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Estonia","2015","Percentage of individuals","All Individuals","11",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Estonia","2019","Percentage of individuals","All Individuals","26",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Ireland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Ireland","2015","Percentage of individuals","All Individuals","3",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Ireland","2019","Percentage of individuals","All Individuals","7",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Greece","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Greece","2015","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Greece","2019","Percentage of individuals","All Individuals","3",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Spain","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Spain","2015","Percentage of individuals","All Individuals","10",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Spain","2019","Percentage of individuals","All Individuals","11",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","France","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","France","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","France","2015","Percentage of individuals","All Individuals","6",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","France","2019","Percentage of individuals","All Individuals","9",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Croatia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Croatia","2015","Percentage of individuals","All Individuals","9",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Croatia","2019","Percentage of individuals","All Individuals","10",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Italy","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Italy","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Italy","2015","Percentage of individuals","All Individuals","6",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Italy","2019","Percentage of individuals","All Individuals","7",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Cyprus","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Cyprus","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Cyprus","2015","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Cyprus","2019","Percentage of individuals","All Individuals","4",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Latvia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Latvia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Latvia","2015","Percentage of individuals","All Individuals","3",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Latvia","2019","Percentage of individuals","All Individuals","6",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Lithuania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Lithuania","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Lithuania","2015","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Lithuania","2019","Percentage of individuals","All Individuals","10",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Luxembourg","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Luxembourg","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Luxembourg","2015","Percentage of individuals","All Individuals","18",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Luxembourg","2019","Percentage of individuals","All Individuals","16","b"
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Hungary","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Hungary","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Hungary","2015","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Hungary","2019","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Malta","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Malta","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Malta","2015","Percentage of individuals","All Individuals","12",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Malta","2019","Percentage of individuals","All Individuals","16",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Netherlands","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Netherlands","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Netherlands","2015","Percentage of individuals","All Individuals","7",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Netherlands","2019","Percentage of individuals","All Individuals","9",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Austria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Austria","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Austria","2015","Percentage of individuals","All Individuals","7",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Austria","2019","Percentage of individuals","All Individuals","9",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Poland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Poland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Poland","2015","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Poland","2019","Percentage of individuals","All Individuals","6",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Portugal","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Portugal","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Portugal","2015","Percentage of individuals","All Individuals","10",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Portugal","2019","Percentage of individuals","All Individuals","12",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Romania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Romania","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Romania","2015","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Romania","2019","Percentage of individuals","All Individuals","3",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovenia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovenia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovenia","2015","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovenia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovakia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovakia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovakia","2015","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Slovakia","2019","Percentage of individuals","All Individuals","5",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Finland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Finland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Finland","2015","Percentage of individuals","All Individuals","15",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Finland","2019","Percentage of individuals","All Individuals","15",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Sweden","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Sweden","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Sweden","2015","Percentage of individuals","All Individuals","12",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Sweden","2019","Percentage of individuals","All Individuals","13",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","United Kingdom","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","United Kingdom","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","United Kingdom","2015","Percentage of individuals","All Individuals","9",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","United Kingdom","2019","Percentage of individuals","All Individuals","15",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Iceland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Iceland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Iceland","2015","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Iceland","2019","Percentage of individuals","All Individuals","26",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Norway","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Norway","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Norway","2015","Percentage of individuals","All Individuals","8",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Norway","2019","Percentage of individuals","All Individuals","12",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","North Macedonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","North Macedonia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","North Macedonia","2015","Percentage of individuals","All Individuals","1",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","North Macedonia","2019","Percentage of individuals","All Individuals","4",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Serbia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Serbia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Serbia","2015","Percentage of individuals","All Individuals","4",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Serbia","2019","Percentage of individuals","All Individuals","2",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Turkey","2006","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Turkey","2010","Percentage of individuals","All Individuals",":",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Turkey","2015","Percentage of individuals","All Individuals","6",""
"Internet use: taking part in on-line consultations or voting to define civic or political issues (e.g. urban planning, signing a petition)","Turkey","2019","Percentage of individuals","All Individuals","7",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Belgium","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Belgium","2015","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Belgium","2019","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Bulgaria","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Bulgaria","2015","Percentage of individuals","All Individuals","8",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Bulgaria","2019","Percentage of individuals","All Individuals","9",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Czechia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Czechia","2015","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Czechia","2019","Percentage of individuals","All Individuals","11","b"
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Denmark","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Denmark","2015","Percentage of individuals","All Individuals","21",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Denmark","2019","Percentage of individuals","All Individuals","20",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","12",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","12",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Estonia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Estonia","2015","Percentage of individuals","All Individuals","9",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Estonia","2019","Percentage of individuals","All Individuals","11",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Ireland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Ireland","2015","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Ireland","2019","Percentage of individuals","All Individuals","10",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Greece","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Greece","2015","Percentage of individuals","All Individuals","11",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Greece","2019","Percentage of individuals","All Individuals","10",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Spain","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Spain","2015","Percentage of individuals","All Individuals","14",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Spain","2019","Percentage of individuals","All Individuals","13",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","France","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","France","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","France","2015","Percentage of individuals","All Individuals","6",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","France","2019","Percentage of individuals","All Individuals","8",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Croatia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Croatia","2015","Percentage of individuals","All Individuals","10",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Croatia","2019","Percentage of individuals","All Individuals","11",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Italy","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Italy","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Italy","2015","Percentage of individuals","All Individuals","12",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Italy","2019","Percentage of individuals","All Individuals","11",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Cyprus","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Cyprus","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Cyprus","2015","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Cyprus","2019","Percentage of individuals","All Individuals","13",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Latvia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Latvia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Latvia","2015","Percentage of individuals","All Individuals","5",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Latvia","2019","Percentage of individuals","All Individuals","10",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Lithuania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Lithuania","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Lithuania","2015","Percentage of individuals","All Individuals","8",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Lithuania","2019","Percentage of individuals","All Individuals","12",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Luxembourg","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Luxembourg","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Luxembourg","2015","Percentage of individuals","All Individuals","19",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Luxembourg","2019","Percentage of individuals","All Individuals","15","b"
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Hungary","2006","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Hungary","2010","Percentage of individuals","All Individuals",":",""
"Internet use: posting opinions on civic or political issues via websites (e.g. blogs, social networks, etc.)","Hungary","2015","Percentage of individuals","All Individuals","4",""
